
Minhas Figurinhas para troca:

Aubrey Modiba - RSA
Jaesung Lee - KOR
Heungmin Son - KOR
Lukáš Provod - CZE
Alphonso Davies - CAN
Derek Cornelius - CAN
Niko Sigur - CAN
Nikola Katić - BIH
Silvan Widmer - SUI
Rubén Vargas - SUI
Marquinhos - BRA
Ruben Providence - HAI
Duckens Nazon - HAI
Frantzdy Pierrot - HAI
Grant Hanley - SCO
Ben Gannon-Doak - SCO
Chris Richards - USA
Gustavo Gómez - PAR
Mathew Ryan - AUS
Cameron Burgess - AUS
Nestory Irankunda - AUS
Mert Müldür - TUR
Abdülkerim Bardakcı - TUR
Merih Demiral - TUR
Merih Demiral - TUR
Hakan Çalhanoğlu - TUR
Can Uzun - TUR
Can Uzun - TUR
Kerem Aktürkoğlu - TUR
Serge Gnabry - GER
Sherel Floranus - CUW
Roshon van Eijma - CUW
Roshon van Eijma - CUW
Shurandy Sambo - CUW
Willy Boly - CIV
Willy Boly - CIV
Ibrahim Sangaré - CIV
Ibrahim Sangaré - CIV
Simon Adingra - CIV
Evann Guessand - CIV
Evann Guessand - CIV
Gonzalo Plata - ECU
Gonzalo Plata - ECU
Micky van de Ven - NED
Tijjani Reijnders - NED
Memphis Depay - NED
Donyell Malen - NED
Japan Logo - JPN
Tsuyoshi Watanabe - JPN
Ao Tanaka - JPN
Ayase Ueda - JPN
Dejan Kulusevski - SWE
Ferjani Sassi - TUN
Hannibal Mejbri - TUN
Romelu Lukaku - BEL
Marwan Attia - EGY
Omar Marmoush - EGY
Milad Mohammadi - IRN
Saman Ghoddos - IRN
Mohammad Mohebi - IRN
Mehdi Taremi - IRN
Liberato Cacace - NZE
Tim Payne - NZE
Sarpreet Singh - NZE
Elijah Just - NZE
Pedri - ESP
Cabo Verde Logo - CPV
Cabo Verde Logo - CPV
Logan Costa - CPV
Dailon Livramento - CPV
Dailon Livramento - CPV
Saudi Arabia Logo - KSA
Abdullah Alkhaibari - KSA
Salem Aldawsari - KSA
Saleh Alshehri - KSA
Mathías Olivera - URU
France Logo - FRA
France Logo - FRA
Jules Koundé - FRA
Théo Hernández - FRA
Kalidou Koulibaly - SEN
Idrissa Gana Gueye - SEN
Krépin Diatta - SEN
Iraq logo - IRQ
Merchas Doski - IRQ
Ibrahim Bayesh - IRQ
Ali Jasim - IRQ
Ali Jasim - IRQ
Ørjan Nyland - NOR
Ørjan Nyland - NOR
Kristoffer Vassbakk Ajer - NOR
Alexander Sørloth - NOR
Ramy Bensebaini - ALG
Ramy Bensebaini - ALG
David Alaba - AUT
Philipp Lienhart - AUT
Jordan Logo - JOR
Jordan Logo - JOR
Yazan Al-Arab - JOR
Abdallah Nasib - JOR
Mahmoud Al-Mardi - JOR
Diogo Costa - POR
Congo DR logo - COD
Axel Tuanzebe - COD
Ngal'ayel Mukau - COD
Noah Sadiki - COD
Abdukodir Khusanov - UZB
Sherzod Nasrullaev - UZB
Otabek Shukurov - UZB
Yerry Mina - COL
Yerry Mina - COL
Jefferson Lerma - COL
Reece James - ENG
Lovro Majer - CRO
Andrej Kramarić - CRO
Lawrence Ati Zigi - GHA
Gideon Mensah - GHA
Kamaldeen Sulemana - GHA
Jordan Ayew - GHA
Antoine Semenyo - GHA
Panama Logo - PAN
Orlando Mosquera - PAN
José Fajardo - PAN
José Luis Rodríguez - PAN
José Luis Rodríguez - PAN

Figurinhas que não tenho:

Official Ball - FWC
Bruno Guimarães - BRA
John Souttar - SCO
Isak Hien - SWE
Leandro Trossard - BEL
Hossein Kanaani - IRN
Finn Surman - NZE
Dean Huijsen - ESP
Jovane Cabral - CPV
Sergio Rochet - URU
Mike Maignan - FRA
Patrick Berg - NOR
Erling Haaland - NOR
Argentina Logo - ARG
Enzo Fernández - ARG
Lionel Messi - ARG
Algeria Logo - ALG
Alexander Schlager - AUT
Michael Gregoritsch - AUT
Nuno Mendes - POR
Vitinha - POR
Uzbekistan Logo - UZB
Rustam Ashurmatov - UZB
Daniel Muñoz - COL
Bukayo Saka - ENG
Marcus Rashford - ENG
Dominik Livaković - CRO
Mateo Kovačić - CRO
Fidel Escobar - PAN
Lamine Yamal - LNAOU
Joshua Kimmich - LNAOU
Harry Kane - LNAOU
Santiago Gimenez - LNAOU
Antonee Robinson - LNAOU
Jefferson Lerma - LNAOU
Edson Alvarez - LNAOU
Virgil Van Dijk - LNAOU
Alphonso Davies - LNAOU
Weston McKennie - LNAOU
Lautaro Martinez - LNAOU
Gabriel Magalhães - LNAOU
Lamine Yamal - LEURO
Joshua Kimmich - LEURO
Eduardo Camavinga - LEURO
Joško Gvardiol - LEURO
Federico Valverde - LEURO
Virgil Van Dijk - LEURO
Alphonso Davies - LEURO
Raúl Jiménez - LEURO
William Saliba - LEURO
Lautaro Martinez - LEURO
Harry Kane - LEURO
Antonee Robinson - LEURO
Lamine Yamal - LROW
Joshua Kimmich - LROW
Harry Kane - LROW
Edson Alvarez - LROW
Joško Gvardiol - LROW
Federico Valverde - LROW
Jefferson Lerma - LROW
Enner Valencia - LROW
Jordan Ayew - LROW
Virgil Van Dijk - LROW
Alphonso Davies - LROW
Weston McKennie - LROW
Eduardo Camavinga - LROW
Lautaro Martinez - LROW
